方策,型,行動,件数,遅れ_秒
logistic_2値0.5,A,ホールド,1039,1
logistic_2値0.5,A,新規_逆張り,1048,1
logistic_2値0.5,A,新規_順張り,1033,1
logistic_2値0.5,A,決済,2081,1
logistic_2値0.5,B,ドテン_逆張り,38,1
logistic_2値0.5,B,ドテン_順張り,193,1
logistic_2値0.5,B,ホールド,1099,1
logistic_2値0.5,B,新規_逆張り,1040,1
logistic_2値0.5,B,新規_順張り,960,1
logistic_2値0.5,B,決済,2000,1
logistic_2値基準率,A,ホールド,701,1
logistic_2値基準率,A,新規_逆張り,834,1
logistic_2値基準率,A,新規_順張り,1364,1
logistic_2値基準率,A,決済,2198,1
logistic_2値基準率,B,ドテン_逆張り,386,1
logistic_2値基準率,B,ドテン_順張り,141,1
logistic_2値基準率,B,ホールド,803,1
logistic_2値基準率,B,新規_逆張り,752,1
logistic_2値基準率,B,新規_順張り,1248,1
logistic_2値基準率,B,決済,2000,1
logistic_3択,A,ホールド,683,1
logistic_3択,A,何もしない,828,1
logistic_3択,A,新規_逆張り,951,1
logistic_3択,A,新規_順張り,631,1
logistic_3択,A,決済,1582,1
logistic_3択,B,ドテン_逆張り,191,1
logistic_3択,B,ドテン_順張り,88,1
logistic_3択,B,ホールド,792,1
logistic_3択,B,何もしない,789,1
logistic_3択,B,新規_逆張り,898,1
logistic_3択,B,新規_順張り,572,1
logistic_3択,B,決済,1470,1
全部逆張り,A,新規_逆張り,2000,1
全部逆張り,B,新規_逆張り,2000,1
全部順張り,A,新規_順張り,2000,1
全部順張り,B,新規_順張り,2000,1
完全な判断,A,ホールド,680,1
完全な判断,A,新規_逆張り,1350,1
完全な判断,A,新規_順張り,650,1
完全な判断,A,決済,2000,1
完全な判断,B,ドテン_逆張り,650,1
完全な判断,B,ホールド,680,1
完全な判断,B,新規_逆張り,1350,1
完全な判断,B,新規_順張り,650,1
完全な判断,B,決済,2000,1
規則,A,ホールド,395,1
規則,A,新規_逆張り,2000,1
規則,A,新規_順張り,285,1
規則,A,決済,2285,1
規則,B,ドテン_順張り,650,1
規則,B,ホールド,680,1
規則,B,新規_逆張り,2000,1
規則,B,決済,2000,1
